id,company_id,company,sector_id,country_id,sector,country,Close,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0,AADI,5,35,Healthcare,United States,75,12.31353767,12.02385463,12.18447983,12.43113801,12.59801164,10.74676216,12.46337816,9.634559602,10.74265167,10.79905517,9.95246619,10.59549451,8.840278164,11.77325249,10.77546291,12.479496,10.55895612,12.38997281,11.55454069,13.91876154,11.68456189,10.00388749,12.93322071,15.7747753,13.17398027,12.3952087,13.89582641,15.1406128,16.98094122,12.86499426,13.74085844,15.99474438,12.88685091,13.16343471,13.1896086,15.79873189,11.62422225,11.44170575,13.82384151,13.25757802,14.54380341,11.66274101,14.10793886,15.63448571,14.70948905,12.02179715,15.15179314,14.53996338,12.44463064,15.58701731,15.58485255,15.94995819,12.45999858,11.85380816,13.98092732,12.13311553,15.70325643,15.75217992,15.57812914,13.2428661
1,1,AAIC,7,35,Real Estate,United States,105.28576,3.709396132,5.752322743,-0.142420973,7.63311305,2.813666014,5.393036653,5.760386787,2.5363594,6.272354717,5.154129164,6.487073214,4.15369042,9.974459479,6.695481283,6.844295834,5.612427275,6.847020979,8.275174085,6.883921038,2.82946699,5.804897483,6.399124934,5.914712814,5.298532808,6.900935543,2.946052037,4.748117118,3.176507186,5.86172938,9.710071808,6.228248007,5.237217837,7.158633509,7.588202289,5.419709184,10.02782337,5.959596904,4.589426467,6.056525453,8.380530658,6.255520634,9.499231582,3.285202336,8.452510876,9.465175902,10.00201843,8.018772014,12.30747045,11.71438828,8.638686738,12.53036595,12.99057809,12.9164438,5.896960935,11.79140147,13.07188844,12.23530353,9.249097187,7.971107868,13.47082954
2,2,AAOI,8,35,Technology,United States,99.61,4.730601056,3.673893394,0.692979175,1.23271985,4.708513119,6.461136653,2.591093882,4.012584259,4.93334891,4.140215907,8.056752295,6.301900448,5.244045789,7.498865996,6.215469759,3.541854104,10.31685106,8.684337088,5.447866795,8.470208328,10.29570862,5.801443752,8.289976634,10.37424467,6.585605989,7.186007227,6.632229483,8.410200859,6.673540651,6.541588934,5.714074611,7.636413541,5.212456817,9.040200616,5.088840956,8.56927379,7.590116594,7.403365834,10.17101367,6.097998919,11.58826339,9.643288445,10.44476398,10.26193772,11.46995986,8.951721215,9.762460298,8.679609578,9.855293165,13.10196768,8.210501025,12.78539518,10.60742003,7.292485306,12.04442436,9.73587937,11.93578068,11.8621933,10.80762304,12.10743309
3,3,AAPL,8,35,Technology,United States,182.01,135.8882812,133.6560973,127.8397176,135.6330127,123.7779646,129.3260466,119.2880482,125.0724136,124.2365366,120.8285661,118.4082668,121.1284985,118.3922433,114.557574,114.0793876,115.4069142,112.8889011,104.1354253,108.6555551,115.2974405,114.693974,109.4281954,110.4454833,103.9099688,105.4086218,105.4842803,100.7458107,109.5680018,101.0150523,94.13962814,104.6884348,103.7526961,90.49529286,101.6918014,100.4416256,94.83560103,100.9384717,99.88949487,90.00430504,91.71672512,95.01160939,95.50919318,92.68129952,91.90595797,91.97288324,91.23666189,97.689347,83.78803353,90.16526634,87.63268355,88.92086208,91.82178336,87.00070679,95.61829796,82.56008123,87.06499584,86.38531761,86.38978183,91.42355143,87.43935534
4,4,AAT,7,35,Real Estate,United States,45.684048,28.09648507,28.25433086,28.7316096,29.11518238,28.64603174,26.4953638,26.48452906,28.88592368,27.92719731,28.50272395,28.42477316,27.42881274,28.06589509,27.04004723,28.35020159,26.22944833,25.92780733,26.38814913,29.24930283,25.83493733,25.43300348,25.03871577,26.09375127,26.26792678,25.09552261,24.28737166,25.42857591,24.17549797,25.51534372,26.1551545,25.61961485,24.10293324,25.86412497,25.99558234,24.97140094,24.37270173,24.4512543,23.88525538,24.73845532,24.78101008,23.26049451,24.35997179,22.48259726,23.55749827,22.0170532,23.80579606,22.84770414,22.88008856,23.24252284,23.02215195,21.26621557,22.62921075,21.71248636,23.53883223,22.49161032,21.73053429,21.7650508,22.59488212,22.4118542,21.58130673
5,5,ABBV,5,35,Healthcare,United States,174.96,142.2798804,150.8672951,140.5278836,146.6255526,140.367609,144.2092649,142.7387104,132.2650954,134.1495125,137.5423287,137.1112383,132.0115803,133.2148228,126.5499307,128.5358997,127.1454982,128.5607403,119.6797757,127.6868067,116.8015294,123.7836857,120.0692045,124.8274984,122.1402696,119.5005736,120.898567,112.2724524,120.5007746,119.8762056,116.7851046,117.4177244,115.4707889,117.0292029,108.2926929,110.2736876,112.435261,113.923377,109.2185497,119.5073104,114.1088361,103.4395316,107.2534791,111.8377538,114.4282589,104.5362582,106.4651629,111.2715318,103.7209532,109.4916285,107.3757942,113.3395518,98.10999975,102.2357677,109.7896104,100.8600077,99.39759783,100.2195666,106.9835705,99.21068911,103.1182943
6,6,ABC,5,35,Healthcare,United States,165.73,136.4809826,139.1717464,135.3459092,137.2409481,132.4128904,131.9633399,133.4431257,125.2492622,124.1047452,135.3542662,127.4034775,127.8318984,122.1055793,123.7020078,121.8516285,122.2750906,123.3175057,117.6778784,120.3680693,113.5185406,120.0252832,113.8048131,111.4929701,113.4496495,114.6056154,115.2171796,116.2123766,111.1534932,115.2792942,110.8033182,117.6421091,105.682903,110.0255816,113.2049349,106.0683238,106.8247825,111.9668706,106.8993437,104.6316567,109.3031337,108.9842234,109.3990321,105.0684939,100.4573138,102.4123929,112.8344896,106.7289138,107.8003612,104.243875,104.0100759,107.2423274,110.2025509,102.4296404,109.6839611,102.9226455,105.2211133,99.9436236,103.3179643,106.598244,97.04663095
7,7,ABCL,5,7,Healthcare,Canada,58.9,10.03937873,9.380457287,9.655626139,11.24678598,11.64206073,10.5117154,10.28320393,11.49344432,11.33749667,9.928089109,10.6494442,11.27671218,10.36523439,8.519526751,12.18227002,10.16086961,10.10712321,9.234167607,11.5832984,8.598059659,12.32564932,9.978665327,8.174533316,9.243327059,8.48504189,8.98512724,11.25102692,10.70340914,8.152797611,11.69793988,11.07562552,12.14490989,10.17315886,9.820717445,12.0451082,12.28782577,9.894677648,12.96014673,8.465204602,10.74078595,11.41370022,13.31508251,9.088155274,10.58139517,11.437631,12.64739481,9.939290041,10.50443418,12.50046443,11.51380734,10.18679008,10.57035222,10.83259813,13.08738728,10.30182388,10.86288594,10.31217434,10.1752214,11.43954697,10.80064274
8,8,ABCM,5,34,Healthcare,United Kingdom,24.3,14.22480395,14.05437446,15.28870935,14.53429799,14.08467774,13.59510502,14.33273819,14.32250095,14.80859463,12.62152719,13.15429823,13.9053189,14.62191562,14.60266069,14.02336292,13.56876599,13.26561736,14.03993399,13.49917651,13.42727829,13.87642202,13.0797031,13.42387746,13.60054373,13.38503156,13.87855985,13.56059271,14.5564555,13.9352398,13.46062029,13.28403947,14.08984705,13.75938174,14.26128607,13.40546839,13.01583477,13.58895804,13.70995678,13.47529396,13.3134375,13.69886933,13.26697306,12.67113175,13.20561045,13.38568189,13.63879868,11.9597717,13.24029077,13.57863244,12.2735624,13.19973287,12.19569535,13.09227371,12.17188666,12.74216094,12.36936055,12.8245238,12.47047865,11.82656156,12.23501487
9,11,ABMD,5,35,Healthcare,United States,449.75,236.4094632,246.3998592,258.5946103,236.2480572,253.2563607,233.9152688,239.4802267,231.1814716,231.0445405,225.111359,235.1263639,234.470955,231.8565839,222.6930423,215.2170534,228.1664671,227.0305393,227.2549154,217.7009271,209.6688231,218.7216376,229.7371271,218.6557456,207.320768,227.1811957,224.0260833,226.702312,227.5339783,214.2450783,227.889388,209.855763,217.6831271,236.7772847,226.9610282,206.3532295,211.0354402,209.3212143,223.1256835,236.7811717,205.6429999,215.1816947,209.3992902,213.7562224,216.4494201,221.7969047,199.2953658,210.1752243,223.7633997,199.5709839,219.2274357,194.5800215,215.8401061,195.1150394,202.9577774,213.6080457,184.957782,211.0284033,209.5557772,202.0226354,200.7476587
